NARI EXPANDED VOCABULARY
nedocor = path
zakod = patient
sesan = peace
picha = peach
pika = peacock
pizaveg = peas
pikaluk = peek
pega = pegasus
penu = pen
bozib = pencil
penga = penguin
performa = perform
bidit = perhaps
fenix = phoenix
lolid = piece
pija = pigeon
rudom = pile
fifo = pill
pina = pineapple
pixa = pixel
bugig = plain
galug = planet
terad = plate
pli = please
plia = pliers
piro = plug
pluma = plum
turib = point
polisha = policy
poma = pomegranate
zigi = port
mego = pot
pota = potato
potai = potatoes
prepara = prepare
varek = present
prita = pretty
preventa = prevent
prisa = price
zuzar = prize
noro = problem
prosesa = process
produka = produce
kotit = profit
projeka = project
promisa = promise
pruva = prove
provida = provide
publisha = publish
pula = pull
nanov = purse
pusha = push
rulut = puzzle
quira = quiet
pamap = quite
rainabow = rainbow
raiza = raise
raka = rake
bezir = ranch
kotot = rare
raspa = raspberry
rava = raven
richa = reach
re = read
rializa = realize
rizona = reason
rekogniza = recognize
ridusa = reduce
rukak = referee
reflekta = reflect
refuza = refuse
relata = relate
rilisa = release
rimena = remain
rimova = remove
mone = rent
ripeta = repeat
riplas = replace
representa = represent
rikwira = require
risursa = resource
respekta = respect
risponda = respond
resta = restaurant
rezulta = result
ritorna = return
rivyuwa = review
zuloz = reward
bikat = riddle
rolacor = role
rola = roll
zomo = roof
ruma = room
mibub = rough
rusha = rush
sada = sad
gagis = salary
kiro = sale
vedaf = salty
sama = same
kunu = sand
sanda = sandals
satela = satellite
satisfa = satisfy
seva = save
renif = scarf
nazav = schedule
gifok = scissors
kinap = score
skrima = scream
skrua = screws
seahors = seahorse
zenum = season
tofum = secret
sobas = secure
tored = seldom
lukuz = selfish
sensa = sense
servisa = service
sev = seven
sheka = shake
shara = share
sharka = shark
lis = she
shina = shine
guber = shirt
kova = shoe
shuta = shoot
libep = short
nizak = shot
shuda = should
shota = shout
shova = shovel
shrim = shrimp
mutod = shut
vatam = shy
saia = sigh
signa = sign
sin = since
tulug = single
panecor = sink
sis = six
skipa = skip
darob = slice
slida = slide
slipa = slippers
sloa = slow
sm = small
simicor = smile
tukum = smoke
snika = sneakers
sniza = sneeze
soa = so
fane = soap
fasot = society
tuficor = sock
gatob = socket
sokawear = socks
siva = soft
rulir = soil
niber = solid
solva = solve
sum = some
gosog = someday
mazef = somehow
vazev = someone
lotez = sometimes
ruriv = somewhat
som = somewhere
fomi = soon
soricor = sorry
sorta = sort
sozip = sour
sursa = source
spasa = space
spasaship = spaceship
kevam = spark
sparo = sparrow
ra = speak
spekta = spectacular
befok = spicy
spina = spinach
splita = split
fasiv = spoon
vumip = sport
spreda = spread
soder = stack
stadia = stadium
fepik = stale
stera = stare
starafis = starfish
podan = steam
stepa = step
stika = stick
stil = still
tadam = stingy
sunif = store
stori = story
tesiv = stove
zadak = strange
stra = strawberry
strecha = stretch
straka = strike
stron = strong
struktura = structure
subjekta = subject
sukesa = success
kiza = such
sugesta = suggest
gosiz = suitcase
solglasa = sunglasses
solarise = sunrise
solaset = sunset
malin = supermarket
suporta = support
lavob = surgeon
pitiv = surgery
gegog = surprise
swana = swan
kuget = swarm
guzob = switch
sistema = system
vetal = tablet
litucor = tale
fatip = tall
reducor = tax
bura = team
teleskop = telescope
ten = ten
tena = tennis
karid = tense
testa = test
tia = thanks
dat = that
rebi = themselves
dana = then
tiorya = theory
ligaf = therapy
der = there
sona = therefore
dese = these
lu = they
th = think
ritum = third
dis = this
dose = those
nivaf = though
mil = thousand
difop = thread
tri = three
thura = through
throwa = throw
tundastorm = thunderstorm
bupug = ticket
mebu = tie
labap = timid
pagit = tiny
tu = to
toma = tomato
tomai = tomatoes
kumez = tonight
kosicor = too
kupep = tornado
tucha = touch
dosi = tour
topiv = toward
damef = towards
semib = towel
karu = town
mokor = track
muton = treaty
tipa = trip
bafem = triple
trola = troll
duzibcor = trophy
trabla = trouble
trusta = trust
trua = truth
tsuna = tsunami
kikug = tunnel
turna = turn
ravas = twice
ducor = two

=== CORE NOUNS (U-Z) ===

kimov = umpire
unika = unicorn
renas = union
nokeb = unique
unita = unite
univaall = universe
rorer = unselfish
unt = until
uploda = upload
bevu = upon
seguf = vaccine
vakua = vacuum
vadik = valley
roped = value
vampa = vampire
veri = very
vibu = vibe
vikta = victory
vida = video
namis = village
motucor = visa
voa = voice
vobek = volcano
volabal = volleyball
vota = vote
fitu = wage
wa = wait
bo = walk
divo = wall
fapo = war
roluv = warmth
worna = warn
westa = waste
vatamel = watermelon
mu = we
weka = weak
webakam = webcam
sifum = weird
weli = welcome
vimed = well
wulfman = werewolf
tusen = wet
vala = whale
wt = what
vokit = wheel
wen = when
wer = where
disen = which
zapun = while
hu = who
pobol = whole
kebu = whom
linid = whose
wai = why
wina n = window
winka = wink
desa = wire
wika = witch
wit = with
ziran = within
no = without
viza = wizard
womi = women
nelo = wood
wora = word
kuzez = workout
wolda = world
worya = worry
gumod = worse
zevuv = worst
rapa = wrap
vrencha = wrench
wri = write
yona = yawn
yela = yell
ye = yes
kune = yet
yilda = yield
ta = you
koki = yourself
tila = yourselves
nul = zero
zomba = zombie
zuma = zoom

=== COUNTRIES ===

safunta = afghanistan
deeve = albania
thilthi = algeria
thohebu = andorra
notu = angola
brasomg = argentina
vilzupi = armenia
robrush = australia
nirbrid = austria
punrori = azerbaijan
slumder = bahamas
fomalgu = bahrain
lorjamj = bangladesh
tansinr = barbados
jansiso = belarus
pekimbr = belgium
bimba = belize
nulrur = benin
ulbrol = bhutan
zumgale = bolivia
menslil = botswana
dromslu = brazil
fibril = brunei
slalsin = bulgaria
famslus = burundi
thadrul = cambodia
reskuma = cameroon
febris = canada
jeslir = chad
jisver = chile
zavi = china
fihursl = colombia
femzulf = comoros
droslem = congo
hihunth = croatia
kemmin = cuba
pisthu = cyprus
hurnisk = czechia
pelzals = denmark
vomete = djibouti
sonpihi = dominica
mandrur = ecuador
tuslal = egypt
fulninj = elsalvador
slosmel = eritrea
soslolu = estonia
gekiro = ethiopia
ramrim = fiji
kajemna = finland
tuban = france
dronler = gabon
namnem = gambia
golgilh = georgia
kennars = germany
sele = ghana
kaltho = greece
nislump = grenada
gonaldr = guatemala
drelge = guinea
thulnu = guyana
nuhos = haiti
nerbagu = honduras
hilgesm = hungary
delkonl = iceland
telvu = india
drumlet = indonesia
nufam = iran
bresvur = iraq
brondra = ireland
brusfos = israel
father = italy
dolkito = jamaica
folsle = japan
kenjon = jordan
iheho = kazakhstan
fuko = kenya
thulvin = kuwait
drengok = kyrgyzstan
lethel = laos
udri = latvia
drumker = lebanon
folhemp = lesotho
zozelfe = liberia
salma = libya
sivovan = liechtenstein
venpehi = lithuania
tolkesr = luxembourg
kisduja = madagascar
gosbun = malawi
kohotho = malaysia
sarpusl = maldives
bogom = mali
fero = malta
nobaja = mauritania
huvapo = mauritius
slisslo = mexico
gosrast = micronesia
sivula = moldova
ruthes = monaco
norjarz = mongolia
bishasb = montenegro
bothisp = morocco
sloskud = mozambique
gamoldr = myanmar
brumtan = namibia
fudre = nepal
benislu = netherlands
hevamri = newzealand
jalgata = nicaragua
lumdrus = niger
movazol = nigeria
sunpos = norway
lokil = oman
ligempu = pakistan
thelar = palau
gebu = panama
hathunm = papuanewguinea
brosdro = paraguay
drefil = peru
mobrank = philippines
benvil = poland
jemdanp = portugal
slosdi = qatar
benahir = romania
narva = russia
levur = rwanda
kuskon = samoa
isbrumal = sanmarino
mevadro = senegal
rimjul = serbia
kegebru = seychelles
thosbal = sierraleone
sortulh = singapore
drammun = slovakia
jismisa = slovenia
thimtel = somalia
drantha = spain
siselji = srilanka
tekum = sudan
dradrim = suriname
humve = sweden
slorpof = switzerland
zakal = syria
thikun = taiwan
gongenl = tajikistan
herlidr = tanzania
femlalp = thailand
kurzi = togo
fundas = tonga
toszure = trinidad
tobakam = tunisia
bidiful = turkmenistan
slusir = tuvalu
dronam = uganda
rundumu = ukraine
rilhese = unitedarabemirates
fimhoza = unitedkingdom
zenjimb = unitedstates
sinasli = uruguay
gelirta = uzbekistan
brevums = venezuela
hapathi = vietnam
thabos = yemen
lalla = zambia
jelthum = zimbabwe

=== DERIVED ACTIONS ===

bunaing = build action
nulmusing = charge action
bomjuling = clean action
renjining = cook action
lubuing = create action
pejaing = dance action
hegaing = design action
nergising = drive action
roltening = farm action
heling = help action
lumaing = learn action
astoling = manage action
fulgoming = paint action
paliing = play action
gosaing = print action
thuninding = protect action
reing = read action
draaing = record action
vusoling = report action
dovunloing = research action
sedraing = run action
pusgiing = search action
zomaing = serve action
brekining = shop action
draharing = sing action
sumaing = study action
zuraing = swim action
tavaing = teach action
zuldruring = travel action
voraing = work action
wriing = write action

=== DERIVED PEOPLE ===

bunaer = build person
nulmuser = charge person
bomjuler = clean person
renjiner = cook person
lubuer = create person
pejaer = dance person
hegaer = design person
nergiser = drive person
roltener = farm person
heler = help person
lumaer = learn person
astoler = manage person
fulgomer = paint person
palier = play person
gosaer = print person
thuninder = protect person
reer = read person
draaer = record person
vusoler = report person
dovunloer = research person
sedraer = run person
pusgier = search person
zomaer = serve person
brekiner = shop person
draharer = sing person
sumaer = study person
zuraer = swim person
tavaer = teach person
zuldrurer = travel person
voraer = work person
wrier = write person

=== DERIVED QUALITIES ===

hiherful = bright full
hihernes = bright state
hiherles = bright without
ganirful = calm full
ganirnes = calm state
ganirles = calm without
slarvadful = careful full
slarvadnes = careful state
slarvadles = careful without
kiraful = clear full
kiranes = clear state
kirales = clear without
kodaful = cold full
kodanes = cold state
kodales = cold without
sluhonful = dark full
sluhonnes = dark state
sluhonles = dark without
zohuful = free full
zohunes = free state
zohules = free without
slususful = fresh full
slususnes = fresh state
slususles = fresh without
hapiful = happy full
hapines = happy state
hapiles = happy without
rumsledful = healthy full
rumslednes = healthy state
rumsledles = healthy without
thudrerful = honest full
thudrernes = honest state
thudrerles = honest without
titaful = kind full
titanes = kind state
titales = kind without
sujaful = light full
sujanes = light state
sujales = light without
thoiful = loud full
thoines = loud state
thoiles = loud without
kavesful = lucky full
kavesnes = lucky state
kavesles = lucky without
visluful = proud full
vislunes = proud state
vislules = proud without
quiraful = quiet full
quiranes = quiet state
quirales = quiet without
sadaful = sad full
sadanes = sad state
sadales = sad without
dundaful = safe full
dundanes = safe state
dundales = safe without
seimful = sharp full
seimnes = sharp state
seimles = sharp without
sivaful = soft full
sivanes = soft state
sivales = soft without
stronful = strong full
stronnes = strong state
stronles = strong without
jummaful = sweet full
jummanes = sweet state
jummales = sweet without
kengeful = useful full
kengenes = useful state
kengeles = useful without
jollelful = warm full
jollelnes = warm state
jollelles = warm without
wekaful = weak full
wekanes = weak state
wekales = weak without

=== DERIVED TOOLS ===

bunain = build tool
nulmusin = charge tool
bomjulin = clean tool
renjinin = cook tool
lubuin = create tool
pejain = dance tool
hegain = design tool
nergisin = drive tool
roltenin = farm tool
helin = help tool
lumain = learn tool
astolin = manage tool
fulgomin = paint tool
paliin = play tool
gosain = print tool
thunindin = protect tool
rein = read tool
draain = record tool
vusolin = report tool
dovunloin = research tool
sedrain = run tool
pusgiin = search tool
zomain = serve tool
brekinin = shop tool
draharin = sing tool
sumain = study tool
zurain = swim tool
tavain = teach tool
zuldrurin = travel tool
vorain = work tool
wriin = write tool

=== DIRECTIONS AND SHAPES ===

fija = bottom
obrin = circle
dotimbr = rectangle
muger = round
dibu = square
hisgoku = straight
kulsa = top
vonbreg = triangle

=== EVERYDAY EXPANDED ===

bemsled = adapter
losla = agenda
nahe = alarm
molbrur = alphabet
slumesa = ambulance
murmun = anchor
undradron = announcement
folsim = apron
slonzer = aquarium
slalkor = architect
gensilh = archive
braszer = armor
vakor = arrow
dimhinm = article
hikas = badge
lussupo = balloon
sukun = banner
dramban = bargain
jombonn = bathrobe
pohejis = bookmark
thomru = booth
virtun = brand
kalslih = calculator
komslus = campground
simulhu = cardboard
amgis = carton
zensidr = clipboard
lisve = collar
drokinb = complaint
zardunj = container
bifossl = coworker
bamvi = crate
misdedr = cushion
bolhi = eraser
dribaji = extension
varvos = faucet
gunmabi = flashlight
morhovu = hallway
pohe = helmet
leborth = identity
dusslam = kettle
iare = landmark
pansums = leaflet
brolgo = locker
nisje = magnet
sozelbi = mailbox
puzi = manual
koshos = marker
bosthel = mattress
nusdomh = microscope
gohubon = package
gusbre = parcel
drosegi = parking
ludalve = perfume
tirbrum = poster
bimmeml = recycling
bromdro = ribbon
rinja = scale
velfifo = shortcut
slerslu = signature
andegar = sunscreen
testu = survey
dismil = tape
usfenmel = thermometer
polgem = timer
urasles = umbrella
farrude = uniform
razesle = warranty
fovulda = whistle
tobar = zipper

=== EVERYDAY VERBS ADDITIONS ===

aslous = interrupt
pabramz = organize
drasdas = permit
zulthis = postpone
nonfols = recommend
bondrol = recover
slisorv = register
visueve = relax
kilfadr = reserve
tofal = retire
salripe = subscribe
uhili = suppose
thipalg = translate
slulher = upgrade

=== FEELINGS AND QUALITIES ===

ganir = calm
slarvad = careful
bunthib = comfortable
vudulfo = confident
midral = cute
nanpa = dead
pirhan = dear
lumaben = effective
kunvenv = efficient
slusus = fresh
lavem = gentle
rumsled = healthy
thudrer = honest
zasdar = lazy
brindis = lonely
thoi = loud
kaves = lucky
remnor = poor
vislu = proud
brellom = random
furirho = repeated
befuju = serious
seim = sharp
zurges = smooth
jumma = sweet
drabrus = tired
kenge = useful
jollel = warm
rulthe = wild
tonlu = wise

=== FOOD ===

kafakup = coffee cup
aisukrem = ice cream
venbotel = water bottle

=== FOOD ADDITIONS ===

renbor = bacon
bruo = burger
nentusl = oatmeal
drespil = pancake
thonsli = pear
brenthu = pickle
pakasla = sausage
thanres = steak
brasfal = tuna
harasgo = vanilla
dresder = waffle

=== FOOD AND DRINK ===

zarkum = almond
apa = apple
bana = banana
slejul = bean
jilhom = beef
rudrem = beer
zemvir = berry
jusurfu = biscuit
breda = bread
pozespa = breakfast
kurges = butter
dize = cake
suljir = candy
homum = cereal
thugo = cheese
brinthu = chicken
poskelo = chocolate
kakimva = cinnamon
kafa = coffee
haro = cookie
taldosl = dessert
vosbon = dinner
dri = drink
mo = eat
ega = egg
brislu = flour
mek = food
frut = fruit
muar = lunch
kudo = meal
mita = meat
drostin = milk
gerpo = noodle
kusvin = nut
kulpis = pasta
zembru = pea
zoldrun = pepper
drunki = pie
nonbes = pizza
vuva = pork
ric = rice
somjan = salad
nudu = salt
fisgomi = sandwich
dasmu = sauce
jebru = snack
orla = soup
slatis = spice
jomol = sugar
tisa = tea
feum = toast
bruvur = turkey
veg = vegetable
ven = water
drolo = wine
brelgon = yogurt

=== GERUNDS (ACTIONS) ===

sovag = abiding
rodaf = absorbing
sarez = accommodating
valob = according
vuzul = aching
tagit = advertising
pirub = agonizing
genes = alluring
medur = amazing
pepam = amusing
mizez = annoying
zovit = anything
zazik = appealing
vured = appetizing
sopen = astonishing
astonda = astounding
pasiz = blazing
luvel = boring
boxa = boxing
breta = breathtaking
nidu = bring
kampa = camping
kaptiva = captivating
bases = caring
gasol = ceiling
tolaz = charming
noku = cling
sikla = cycling
dur = during
enchanta = enchanting
tezeb = everything
fasina = fascinating
dagi = feeling
fishasport = fishing
gani = funding
gote = growing
zulu = hearing
hikasport = hiking
fusa = housing
desu = hunting
pido = including
zave = increasing
bodeger = interesting
zusa = killing
pare = leading
litastrike = lightning
mina = meaning
bavev = meeting
mezmera = mesmerizing
bagem = nothing
outgo = outgoing
mutu = ring
runasport = running
skata = skating
skia = skiing
zorur = something
vagop = spring
surfa = surfing
swimasport = swimming
vresla = wrestling

=== GRAMMAR ALIASES ===

be = to be

=== HEALTH ===

firsted = first aid

=== HOBBIES AND CULTURE ===

zirran = band
rinpure = concert
zinru = craft
sunvirg = drawing
naponda = festival
solslis = guitar
onohob = hobby
rirubim = painting
lidron = piano
ardu = poem
zisro = recipe
jekal = violin

=== HOME AND DAILY LIFE ===

aponta = appointment
fompen = attic
gagerdr = balcony
slupenm = basement
meavar = bathroom
ontemthil = bedroom
reposth = blanket
alamis = cabinet
brazu = candle
biltal = carpet
maspor = closet
finle = couch
jardrol = counter
pesilno = curtain
deoda = deodorant
furgarf = detergent
gommu = dish
tunhem = drawer
funlisu = elevator
volful = heater
remen = ladder
benajas = laundry
vopul = lock
miragla = mirror
rosnur = napkin
zulol = outlet
felpu = pillow
resita = receipt
danja = remote
shampa = shampoo
nelom = shelf
dunber = shower
ihes = sponge
penno = stairs
toila = toilet
tuthbrus = toothbrush
tuthpas = toothpaste
bunen = trash
wala = wallet
thanurj = wardrobe
drele = yard

=== MEDIA ===

stori buka = story book

=== MONEY ===

maraprisa = market price

=== MONEY AND SHOPPING ===

gefun = aisle
fonslir = budget
serha = cart
foromva = checkout
rasnan = coupon
fulme = dollar
bothult = purchase
sitan = refund
alza = saving
brekin = shop

=== MOVEMENT AND TRAVEL ===

firhamp = direction
brersi = harbor
jurhir = mile
lurzes = ride
irzu = route
pepovo = traffic
brilme = truck
pajobra = vehicle

=== NATIONALITIES ===

kosvo = afghan
dibomje = albanian
vemalbr = algerian
galgoze = andorran
braskan = angolan
drukosv = argentinian
dudirfi = armenian
hesbrub = australian
runfosz = austrian
slenjir = azerbaijani
falfont = bahamian
lesslim = bahraini
markubr = bangladeshi
zelafel = barbadian
fargelh = basotho
sessarb = belarusian
hetupu = belgian
pisbral = belizean
thamsam = beninese
hanbris = bhutanese
berthat = bolivian
sunilzo = botswanan
dulberb = brazilian
domvebr = british
varzeng = bruneian
suslori = bulgarian
dromolp = burundian
kusdron = cambodian
zutorzi = cameroonian
drunmat = canadian
brujump = chadian
munhonv = chilean
thisdre = chinese
ramabra = colombian
ponjull = comorian
mosmuda = congolese
slesthe = croatian
ribrin = cuban
muaol = cypriot
same = czech
pabrem = danish
gimjins = djiboutian
temfebo = dominican
nirdros = dutch
hethemb = ecuadorian
lijelle = egyptian
kumebri = emirati
sleljev = eritrean
brurdem = estonian
julisdr = ethiopian
rolke = fijian
megizom = finnish
losmam = french
gesanbo = gabonese
slosbus = gambian
theshif = georgian
sidikor = ghanaian
rusdos = greek
thusslo = grenadian
virumko = guatemalan
jufatu = guinean
multosv = guyanese
tilbomj = haitian
verirru = honduran
nasliru = hungarian
fuldens = icelandic
raresnu = indonesian
thozugu = iranian
baltilb = jamaican
pulbrel = jordanian
nuhe = kazakh
jolvel = kenyan
denjama = kuwaiti
monsu = kyrgyz
furnasa = laotian
britheg = latvian
bombima = lebanese
kirhidr = liberian
tamhen = libyan
slosduj = liechtensteiner
lurgunu = lithuanian
hubrobr = luxembourgish
sidrels = malagasy
zumkide = malawian
aiszu = malaysian
puslabr = maldivian
holvor = malian
basslar = maltese
poslelm = mauritanian
drioba = mauritian
rululju = mexican
fabirth = micronesian
nulruld = moldovan
renkimm = monacan
broholt = mongolian
zomlisl = montenegrin
hantism = moroccan
vorlulh = mozambican
vinbrum = namibian
tazas = nepali
dradrak = newzealander
dosvuss = nicaraguan
luthapi = nigerian
irvosve = nigerien
jelmolh = norwegian
hirzel = omani
felnedr = pakistani
tudosdr = palauan
jirfalj = panamanian
dinlan = papuan
dosuhu = paraguayan
zimvadr = peruvian
ruhorbr = philippine
dripo = polish
ninkelb = portuguese
zumes = qatari
fanulse = romanian
brostho = russian
bunnuze = rwandan
drana = samoan
thumtud = senegalese
takurvu = serbian
lizezon = seychellois
sinlast = sierraleonean
jevislo = singaporean
jepa = slovak
jamkinl = slovenian
himvu = somali
bridrir = spanish
masdrav = srilankan
drisjur = sudanese
tilirdu = surinamese
slufemt = swedish
dassa = swiss
mokunat = syrian
lallonh = taiwanese
hino = tajik
brolufi = tanzanian
olfas = thai
rorfulj = togolese
dosmes = tongan
dronthe = trinidadian
domsisk = tunisian
hemenbr = turkish
megelza = turkmen
sasslon = tuvaluan
korvini = ugandan
arzultho = ukrainian
hemvorn = uruguayan
labu = uzbek
kemmerb = venezuelan
mimserz = vietnamese
lasjem = yemeni
murslul = zambian
thathus = zimbabwean

=== NATURE ===

nit sky = night sky
sea wind = sea wind

=== NATURE AND WEATHER ===

mimdra = beach
fedik = cloud
raldre = coast
sume = dirt
firasta = fire station
sulad = flower
zarug = forest
gresa = grass
tuda = hill
vure = lake
zironat = leaf
luna = moon
monda = mountain
masun = ocean
revep = plant
raina = rain
riva = river
zonu = rock
nominat = root
sea = sea
faslom = sky
puni = snow
sila = star
lakiz = stone
kopeg = storm
penmes = stream
sol = sun
tira n = tree
hemkum = wave
druvadi = weather
vayu = wind

=== OBJECTS ADDITIONS ===

hoslals = coaster
zusadom = controller
hetapo = toolbox
dofu = tripod

=== PAST TENSE AND STATES ===

zalu = abandoned
mesar = accomplished
bituf = advanced
zitor = amused
gutas = animated
megaf = ashamed
beda = bed
zeta = bleed
tarur = blessed
budam = bored
zela = breed
fison = closed
kani = exceed
tavoz = excited
pima = feed
lido = gifted
huna = hundred
redu = implied
lepo = increased
livi = indeed
venul = interested
zuka = involved
litar = locked
nopam = relaxed
seavid = seaweed
stresa = stressed
suksida = succeed
reruf = unlocked

=== PEOPLE ===

famnam = family name

=== PEOPLE AND ROLES ===

mulo = Indian
rase = Italian
dosa = actor
dalo = administer
lubod = administrator
afra = after
befa = alter
difi = anger
fafor = another
arta = artist
reni = assist
bab = baby
baka = baker
zozug = better
rofed = bitter
blenda = blender
pasupeo = border
kifu = bother
nuzuv = butcher
karpa = carpenter
magu = center
charja = charger
bosu = cheer
kidi = child
bivel = clever
bole = conquer
dona = consider
mise = consist
lipu = corner
zinu = cover
kuku = cucumber
femok = december
pizo = deliver
migup = dentist
vako = differ
mofi = discover
dishavash = dishwasher
doka = doctor
dora n = door
driamach = dryer
elektra = electrician
vipa = encounter
enjina = engineer
vuse = enter
niti = exist
fovu = factor
fama = family
lade = farmer
sege = father
rani = favor
gakopeo = finger
bala = flavor
naseb = floor
folda = folder
fora = for
nabe = forever
nufe = former
depa = founder
friza = freezer
fali = friend
gemi = further
zuzu = gather
bamapeo = gender
nomi = girl
kofo = governor
gezi = grandfather
besopeo = grandmother
hama = hammer
zabe = helicopter
sizu = historian
tasa = honor
sute = horror
nolof = however
tufi = humor
vesu = hunter
soga = inner
bode = insist
muni = instructor
kazo = investigator
nora = investor
kofe = journalist
kuda = junior
dopa = killer
livo = king
fomu = labor
lat = later
tebu = latter
solo = lawyer
fuma = layer
muru = leader
lumer = learner
pege = leather
loba = lobster
mava = man
meteo = meteor
kimus = mist
monita = monitor
monsta = monster
kubup = motor
muzika = musician
palut = never
napaf = november
voped = number
ruzat = october
tutuf = offer
o = or
orda = order
odra = other
ovra = over
painta = painter
papa = paper
lipeo = people
li = person
farmaist = pharmacist
fota = photographer
kigal = player
plumba = plumber
powra = power
profa = professor
fuveb = rather
mitur = razor
frija = refrigerator
rimembra = remember
routa = router
vepan = rumor
sienta = scientist
skrudriva = screwdriver
dirit = september
sokabal = soccer
spika = speaker
studa = student
sufra = suffer
dofof = summer
supa = super
sweta = sweater
taver = teacher
tiata = theater
tosta = toaster
mekod = together
un = under
zenap = vapor
waita = waiter
wispa = whisper
pusis = winter
woma = woman
wondra = wonder
wodapek = woodpecker
writaist = writer

=== PEOPLE AND SOCIETY ===

jomomni = actress
sisunem = adviser
drubasg = assistant
slusbre = athlete
slumthi = aunt
vebri = author
ersas = barber
hildam = boss
brilgin = boy
slernas = bride
gujurfa = brother
kurbopo = captain
drahild = cashier
zadrulu = citizen
ganbomv = colleague
dulronv = community
hahos = cousin
puzurbo = customer
zuralge = daughter
tassunt = director
bomkul = driver
selra = elder
sominma = employee
komthi = enemy
honbagu = manager
thalsla = mayor
brilult = neighbor
drubrol = officer
felne = owner
relnosl = partner
bilafes = passenger
baszul = poet
brompa = prince
tesunti = princess
demze = queen
jodorsa = relative
bevikam = reporter
porsuth = resident
pasmun = singer
jomilth = soldier
jasbemr = stranger
voslor = teen
drasu = uncle
vokazus = visitor
borthel = volunteer
zalthim = worker

=== PHRASES AND EXPRESSIONS ===

mi na ni = I do not know
blakahol = black hole
emi = excuse me
ruvat = no one
postaofis = post office
tiaphr = thank you
ex = there is
ta weli = you are welcome

=== PLACE ===

domtown = home town

=== POSSESSIVES ===

lisi = her
lihi = his
liti = its
pabom = mine
mai = my
mui = our
lui = their
tai = your

=== REQUESTED WORDS ===

broas = creepy
makareq = curse
zuvon = scary
rune = spooky
doe = swear
zelbovi = terrifying
jellu = vow

=== SCHOOL ===

skulbag = school bag

=== SLANG AND SWEAR WORDS ===

aza = ass
brg = bro
fala = cap
kopo = crap
zani = crazy
bren = damn
pako = dickhead
vorisla = dude
eza = easy
falo = fire
sho = flex
fre = for real
fk = fuck
besosla = goat
guda morn = good morning
guda nit = good night
voru = guy
norg = hell
bafusla = idiot
ninsla = idk
imo n = in my opinion
mado = insane
lal = laugh out loud
laza = lit
lalsla = lol
luzu = loser
negr = nigger
nop = np
oma = omg
piza = piss
sena ta = see you
zakosla = shit
zika = sick
dulo = stupid
tbo = to be honest

=== TECHNOLOGY ===

koma = computer
samo = data
runon = engine
fila = file
hardaware = hardware
neta = internet
bapuf = machine
netavork = network
netabuka = online book
tel = phone
telzuma = phone charger
bizav = screen
softa = software
vidakala = video call
vashamach = washing machine
webasit = website

=== TECHNOLOGY AND MEDIA ===

thellen = app
lirbolr = browser
thonjul = bug
drimvun = button
loda = cache
zahon = camera
thesdri = channel
therras = code
drimton = custom
gimurhe = database
lolrul = deploy
futhull = download
unzer = email
brusvar = error
zorthor = github
thardu = input
tujur = laptop
zanfe = link
mofatec = load
druna = login
slukul = media
zindras = menu
thamhun = option
zerso = output
kadreor = password
kunmin = photo
samthus = podcast
slanuur = printer
mumebre = profile
bremjom = refresh
gansus = reload
thindri = repository
pusgi = search
slobal = server
govispa = setting
sligist = storage
demji = sync
dera = tab
setel = text
niha = update

=== TIME ===

voraday = work day

=== TIME AND CALENDAR ===

pelag = calendar
zubab = clock
zabatim = day
eve = evening
pedap = friday
riso = hour
zufiz = minute
desob = monday
nomuv = month
morn = morning
nit = night
pazel = saturday
zeden = second
danom = sunday
toden = thursday
tima = time
ted = today
tomd = tomorrow
fugil = tuesday
rifol = wednesday
tovo = week
brulsuh = weekend
kefa = year
yesd = yesterday

=== TRANSPORTATION ===

pigor = airport
beve = boat
fopap = bridge
bus = bus
kar = car
guna = fly
polisasta = police station
roda = road
shiva = ship
kesos = station
semum = street
tiren = train

=== TRAVEL ===

busstation = busstation
siti road = city road

=== WORK AND SCHOOL ===

pilgaso = assignment
volas = campus
nanlohe = certificate
zozus = chart
bumusko = classroom
anlo = client
kekombo = college
zezues = deadline
gaudin = department
thodo = essay
size = exam
valsarh = homework
mazi = lesson
gamho = tool
nodrufo = training
